id,book_id,year,month,day,keywords
1,1,2020,1,23,python
2,2,2020,1,12,python
3,3,2020,1,6,quiz
4,1,2020,1,4,quiz
5,2,2020,1,23,quiz
6,1,2020,1,7,quiz
7,3,2020,2,7,python
8,1,2020,2,8,quiz
9,3,2020,2,14,quiz
10,2,2020,2,13,python
11,1,2020,3,14,quiz
12,2,2020,3,14,python
13,3,2020,3,15,python
14,3,2020,3,16,python
15,2,2020,3,13,quiz
16,5,2020,2,11,car
17,2,2020,4,5,car
1,1,2021,1,5,python
2,2,2021,1,5,python
3,3,2021,1,5,quiz
4,1,2021,1,6,quiz
5,2,2021,1,6,quiz
6,1,2021,1,6,quiz
7,3,2022,2,7,python
8,1,2022,2,3,quiz
9,3,2022,2,7,quiz
10,2,2022,2,16,python
11,1,2022,3,15,quiz
12,2,2022,3,23,python
13,3,2022,3,12,python
14,3,2022,3,8,python
15,2,2022,3,6,quiz
16,5,2022,2,4,car
17,2,2022,4,6,car
1,1,2021,3,30,hello
1,1,2021,3,30,martin
1,1,2021,3,30,ludcr
1,1,2021,3,30,king
1,1,2021,3,30,python
1,1,2021,3,30,python
1,1,2021,3,30,python
1,1,2021,3,30,investing
1,1,2021,4,1,sign
1,1,2021,4,1,business
1,1,2021,4,1,four
1,1,2021,4,1,investing
1,1,2021,4,1,dc
1,1,2021,4,1,sign
1,1,2021,4,1,business
1,1,2021,4,1,four
1,1,2021,4,1,dc
1,1,2021,4,1,sign
1,1,2021,4,1,business
1,1,2021,4,1,four
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,business
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,data
1,1,2021,4,1,structure
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,data
1,1,2021,4,1,structures
1,1,2021,4,1,data
1,1,2021,4,4,investing
1,1,2021,4,4,investing
1,1,2021,4,4,business
1,1,2021,4,4,ideas
1,1,2021,4,4,business
1,1,2021,4,4,ideas
1,1,2021,4,4,investing
1,1,2021,4,4,business
1,1,2021,4,4,ideas
1,1,2021,4,4,investing
1,1,2021,4,5,342
1,1,2021,4,5,~%389
1,1,2021,4,5,~%=[]
1,1,2021,4,5,~^=[]
1,1,2021,4,5,~^+[]
1,1,2021,4,5,~+=[]
1,1,2021,4,15,investing
1,1,2021,4,15,investing
1,1,2021,4,15,stories
1,1,2021,4,15,universe
1,1,2021,4,15,eyes
1,1,2021,4,15,affair
1,1,2021,4,15,book
1,1,2021,4,15,thief
1,1,2021,4,15,book
1,1,2021,4,15,thieves
1,1,2021,4,15,throne
1,1,2021,4,15,of
1,1,2021,4,15,glasses
1,1,2021,4,15,blindnesz
1,1,2021,4,15,blindness
1,1,2021,4,15,sam
1,1,2021,4,15,walton
1,1,2021,4,15,business
1,1,2021,4,15,books
1,1,2021,4,15,thieves
1,1,2021,4,15,book
1,1,2021,4,15,thievez
1,1,2021,4,15,book
1,1,2021,4,15,thieves
1,1,2021,4,15,book
1,1,2021,4,15,thieves
1,1,2021,4,15,book
1,1,2021,4,15,thief
1,1,2021,4,15,hard
1,1,2021,4,15,time
1,1,2021,4,15,hard
1,1,2021,4,15,timez
1,1,2021,4,15,blindznes
1,1,2021,4,15,blindness
1,1,2021,4,15,jose
1,1,2021,4,15,saramago
1,1,2021,4,15,the
1,1,2021,4,15,secret
1,1,2021,4,15,life
1,1,2021,4,15,bee
1,1,2021,4,15,buffett
1,1,2021,4,15,machine
1,1,2021,4,15,learning
1,1,2021,4,15,books
1,1,2021,4,15,habits
1,1,2021,4,15,good
1,1,2021,4,15,man
1,1,2021,4,15,what
1,1,2021,4,15,today
1,1,2021,4,15,help
1,1,2021,4,15,people
1,1,2021,4,15,leader
1,1,2021,4,15,How
1,1,2021,4,15,to
1,1,2021,4,15,overcome
1,1,2021,4,15,our
1,1,2021,4,15,stress
1,1,2021,4,15,want
1,1,2021,4,15,start
1,1,2021,4,15,new
1,1,2021,4,15,habit
1,1,2021,4,15,from
1,1,2021,4,15,today
1,1,2021,4,15,negotiate
1,1,2021,4,15,salary
1,1,2021,4,15,achieve
1,1,2021,4,15,success
1,1,2021,4,15,life
1,1,2021,4,15,cooking
1,1,2021,4,15,ways
1,1,2021,4,15,think
1,1,2021,4,15,like
1,1,2021,4,15,scientist
1,1,2021,4,15,think
1,1,2021,4,15,like
1,1,2021,4,15,economist
1,1,2021,4,15,book
1,1,2021,4,15,book
1,1,2021,4,15,thief
1,1,2021,7,1,marketing
1,1,2021,7,1,value
1,1,2021,7,1,investing
1,1,2021,7,1,investing
1,1,2021,7,1,investing
1,1,2021,7,9,make
1,1,2021,7,9,decisions
1,1,2021,7,9,make
1,1,2021,7,9,decision
1,1,2021,7,9,people
1,1,2021,7,9,make
1,1,2021,7,9,decision
1,1,2021,7,9,people
1,1,2021,7,9,make
1,1,2021,7,9,decision
1,1,2021,7,9,investing
1,1,2021,7,9,overcome
1,1,2021,7,9,stress
1,1,2021,7,9,negotiate
1,1,2021,7,9,salary
1,1,2021,7,9,think
1,1,2021,7,9,like
1,1,2021,7,9,economist
1,1,2021,7,9,think
1,1,2021,7,9,economist
1,1,2021,7,9,doughnut
1,1,2021,7,9,economics
1,1,2021,7,9,laptop
1,1,2021,7,9,investing
1,1,2021,7,9,investing
1,1,2021,7,9,learn
1,1,2021,7,9,business
1,1,2021,7,9,management
1,1,2021,7,9,warren
1,1,2021,7,9,buffett
1,1,2021,7,9,books
1,1,2021,7,9,warren
1,1,2021,7,9,buffett
1,1,2021,7,9,maze
1,1,2021,7,9,made
1,1,2021,7,9,the
1,1,2021,7,9,book
1,1,2021,7,9,thieves
1,1,2021,7,9,the
1,1,2021,7,9,book
1,1,2021,7,9,thief
1,1,2021,7,9,overcome
1,1,2021,7,9,our
1,1,2021,7,9,stress
1,1,2021,7,9,blindness
1,1,2021,7,9,books
1,1,2021,7,9,about
1,1,2021,7,9,stockmarket
1,1,2021,7,9,team
1,1,2021,7,9,management
1,1,2021,7,9,increase
1,1,2021,7,9,productivity
1,1,2021,7,9,success
1,1,2021,7,9,rules
1,1,2021,7,9,create
